"","date","copies_mL","site"
"1","2022-07-11",0,"BO"
"2","2022-07-12",0,"BO"
"3","2022-07-13",0,"BO"
"4","2022-07-14",0,"BO"
"5","2022-07-15",0,"BO"
"6","2022-07-16",0,"BO"
"7","2022-07-17",0,"BO"
"8","2022-07-18",0,"BO"
"9","2022-07-19",0,"BO"
"10","2022-07-07",0,"BO"
"11","2022-07-08",0,"BO"
"12","2022-07-09",0,"BO"
"13","2022-07-11",14.5811789727088,"C2"
"14","2022-07-12",4.04243035753665,"C2"
"15","2022-07-13",1.29622230441236,"C2"
"16","2022-07-14",0.0325342225593466,"C2"
"17","2022-07-15",0.0277769656035139,"C2"
"18","2022-07-16",1.61745537760186,"C2"
"19","2022-07-17",34.5313393277206,"C2"
"20","2022-07-18",0.236512521450057,"C2"
"21","2022-07-19",0,"C2"
"22","2022-07-07",0,"C2"
"23","2022-07-08",0.0260615682478998,"C2"
"24","2022-07-09",0,"C2"
"25","2022-07-11",14.691838675144,"RD"
"26","2022-07-12",19.3385224789379,"RD"
"27","2022-07-13",17.3390260309798,"RD"
"28","2022-07-14",1.54811676125487,"RD"
"29","2022-07-15",18.2318997216589,"RD"
"30","2022-07-16",21.837394093743,"RD"
"31","2022-07-17",2.13179934832378,"RD"
"32","2022-07-18",22.5930532996021,"RD"
"33","2022-07-19",0.448364824569897,"RD"
"34","2022-07-07",7.49310194005099,"RD"
"35","2022-07-08",24.8499580609956,"RD"
"36","2022-07-09",36.5346347293332,"RD"
