,site,Sample,copies_mL,date
1,BO,BO_11,0,2022-07-11
2,BO,BO_12,0,2022-07-12
3,BO,BO_13,0,2022-07-13
4,BO,BO_14,0,2022-07-14
5,BO,BO_15,0,2022-07-15
6,BO,BO_16,0,2022-07-16
7,BO,BO_17,0,2022-07-17
8,BO,BO_18,0,2022-07-18
9,BO,BO_19,0,2022-07-19
10,BO,BO_7,0,2022-07-07
11,BO,BO_8,0,2022-07-08
12,BO,BO_9,0,2022-07-09
13,C2,C2_11,14.58117897,2022-07-11
14,C2,C2_12,4.042430358,2022-07-12
15,C2,C2_13,1.296222304,2022-07-13
16,C2,C2_14,0.032534221,2022-07-14
17,C2,C2_15,0.027776967,2022-07-15
18,C2,C2_16,1.617455375,2022-07-16
19,C2,C2_17,34.53133933,2022-07-17
20,C2,C2_18,0.236512521,2022-07-18
21,C2,C2_19,0,2022-07-19
22,C2,C2_7,0,2022-07-07
23,C2,C2_8,0.026061567,2022-07-08
24,C2,C2_9,0,2022-07-09
25,RD,RD_11,14.69183868,2022-07-11
26,RD,RD_12,19.33852248,2022-07-12
27,RD,RD_13,17.33902603,2022-07-13
28,RD,RD_14,1.548116763,2022-07-14
29,RD,RD_15,18.23189972,2022-07-15
30,RD,RD_16,21.83739409,2022-07-16
31,RD,RD_17,2.131799346,2022-07-17
32,RD,RD_18,22.5930533,2022-07-18
33,RD,RD_19,0.448364825,2022-07-19
34,RD,RD_7,7.493101942,2022-07-07
35,RD,RD_8,24.84995806,2022-07-08
36,RD,RD_9,36.53463473,2022-07-09
