,site,Sample,copies_mL,date
1,BO,BO_11,1.60998E+12,2022-07-11
2,BO,BO_12,2.145382635,2022-07-12
3,BO,BO_13,1.60998E+12,2022-07-13
4,BO,BO_14,8.04989E+11,2022-07-14
5,BO,BO_15,1.60998E+12,2022-07-15
6,BO,BO_16,3.745583368,2022-07-16
7,BO,BO_17,1.60998E+12,2022-07-17
8,BO,BO_18,8.04989E+11,2022-07-18
9,BO,BO_19,3.81245367,2022-07-19
10,BO,BO_7,1.60998E+12,2022-07-07
11,BO,BO_8,1.60998E+12,2022-07-08
12,BO,BO_9,8.04989E+11,2022-07-09
13,C2,C2_11,9.585169659,2022-07-11
14,C2,C2_12,8.04989E+11,2022-07-12
15,C2,C2_13,1.60998E+12,2022-07-13
16,C2,C2_14,1.815056044,2022-07-14
17,C2,C2_15,2.628167951,2022-07-15
18,C2,C2_16,4.674311905,2022-07-16
19,C2,C2_17,1.60998E+12,2022-07-17
20,C2,C2_18,8.04989E+11,2022-07-18
21,C2,C2_19,1.60998E+12,2022-07-19
22,C2,C2_7,1.60998E+12,2022-07-07
23,C2,C2_8,1.813972481,2022-07-08
24,C2,C2_9,8.04989E+11,2022-07-09
25,RD,RD_11,3.039387137,2022-07-11
26,RD,RD_12,8.04989E+11,2022-07-12
27,RD,RD_13,1.60998E+12,2022-07-13
28,RD,RD_14,1.60998E+12,2022-07-14
29,RD,RD_15,1.338292855,2022-07-15
30,RD,RD_16,4.853076952,2022-07-16
31,RD,RD_17,1.60998E+12,2022-07-17
32,RD,RD_18,1.60998E+12,2022-07-18
33,RD,RD_19,1.60998E+12,2022-07-19
34,RD,RD_7,8.04989E+11,2022-07-07
35,RD,RD_8,1.60998E+12,2022-07-08
36,RD,RD_9,3.208798861,2022-07-09
