,site,Sample,copies_mL,date
1,BO,BO_11,1.60998E+13,7/11/22
2,BO,BO_12,1.60998E+13,7/12/22
3,BO,BO_13,3.21995E+13,7/13/22
4,BO,BO_14,115.2129146,7/14/22
5,BO,BO_15,1.60998E+13,7/15/22
6,BO,BO_16,456.467909,7/16/22
7,BO,BO_17,170.1166775,7/17/22
8,BO,BO_18,304.9991589,7/18/22
9,BO,BO_19,2.6833E+13,7/19/22
10,BO,BO_7,8.04989E+12,7/7/22
11,BO,BO_8,1.60998E+13,7/8/22
12,BO,BO_9,1.60998E+13,7/9/22
13,C2,C2_11,3.925083222,7/11/22
14,C2,C2_12,1.60998E+12,7/12/22
15,C2,C2_13,1.60998E+12,7/13/22
16,C2,C2_14,2.438122197,7/14/22
17,C2,C2_15,2.054845833,7/15/22
18,C2,C2_16,7.237620755,7/16/22
19,C2,C2_17,13.18965847,7/17/22
20,C2,C2_18,1.430888111,7/18/22
21,C2,C2_19,1.60998E+12,7/19/22
22,C2,C2_7,1.60998E+12,7/7/22
23,C2,C2_8,34.92899381,7/8/22
24,C2,C2_9,1.60998E+12,7/9/22
25,RD,RD_11,7.822652539,7/11/22
26,RD,RD_12,2.575621524,7/12/22
27,RD,RD_13,7.961013223,7/13/22
28,RD,RD_14,4.244152611,7/14/22
29,RD,RD_15,6.375096206,7/15/22
30,RD,RD_16,1.60998E+12,7/16/22
31,RD,RD_17,5.148995754,7/17/22
32,RD,RD_18,1.60998E+12,7/18/22
33,RD,RD_19,2414.964517,7/19/22
34,RD,RD_7,1.60998E+12,7/7/22
35,RD,RD_8,23.81300996,7/8/22
36,RD,RD_9,16.62992397,7/9/22
