"","date","copies_mL","site"
"1","2022-07-11",0,"BO"
"2","2022-07-12",412.942561989465,"BO"
"3","2022-07-13",0,"BO"
"4","2022-07-14",0,"BO"
"5","2022-07-15",719.130233008895,"BO"
"6","2022-07-16",628.000355376031,"BO"
"7","2022-07-17",1817.55767994207,"BO"
"8","2022-07-18",1250.61106448846,"BO"
"9","2022-07-19",1425.99934454824,"BO"
"10","2022-07-07",0,"BO"
"11","2022-07-08",343.963671489978,"BO"
"12","2022-07-09",0,"BO"
"13","2022-07-11",18.1735108796225,"C2"
"14","2022-07-12",45.5903155038254,"C2"
"15","2022-07-13",8.69107906164826,"C2"
"16","2022-07-14",31.4977300624476,"C2"
"17","2022-07-15",16.542977418597,"C2"
"18","2022-07-16",50.8281304621223,"C2"
"19","2022-07-17",14.0616221946716,"C2"
"20","2022-07-18",0,"C2"
"21","2022-07-19",0,"C2"
"22","2022-07-07",0,"C2"
"23","2022-07-08",35.3082550937902,"C2"
"24","2022-07-09",16.4201356880257,"C2"
"25","2022-07-11",0,"RD"
"26","2022-07-12",0,"RD"
"27","2022-07-13",52.3425134948341,"RD"
"28","2022-07-14",0,"RD"
"29","2022-07-15",69.0415936200708,"RD"
"30","2022-07-16",28.9808633694874,"RD"
"31","2022-07-17",18.9757005171273,"RD"
"32","2022-07-18",0,"RD"
"33","2022-07-19",17.3664122437429,"RD"
"34","2022-07-07",103.122385168259,"RD"
"35","2022-07-08",113.440082257628,"RD"
"36","2022-07-09",0,"RD"
