,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,,Unkn,BO_7,26.0195988657088,NaN
,A02,Cy5,,Unkn,BO_7,25.7437910062123,NaN
,A03,Cy5,,Unkn,BO_7,25.6856453371663,NaN
,A04,Cy5,,Unkn,BO_14,25.5272302867487,NaN
,A05,Cy5,,Unkn,BO_14,25.7764851415576,NaN
,A06,Cy5,,Unkn,BO_14,25.6739366636281,NaN
,A08,Cy5,,Unkn,C2_7,25.7141234614019,NaN
,A09,Cy5,,Unkn,C2_7,25.7126775600185,NaN
,A10,Cy5,,Unkn,C2_7,25.6612705801607,NaN
,A11,Cy5,,Unkn,C2_14,26.0195186987838,NaN
,A12,Cy5,,Unkn,C2_14,25.8757663119029,NaN
,A13,Cy5,,Unkn,C2_14,25.8096323643543,NaN
,A15,Cy5,,Unkn,RD_7,25.7729475995832,NaN
,A18,Cy5,,Unkn,RD_14,25.6649540637044,NaN
,A19,Cy5,,Unkn,RD_14,25.8498361111967,NaN
,A20,Cy5,,Unkn,RD_14,25.7968994420361,NaN
,A22,Cy5,,Pos Ctrl,,25.6512208673634,NaN
,A23,Cy5,,Pos Ctrl,,25.7850657448289,NaN
,A24,Cy5,,Pos Ctrl,,25.7007386175547,NaN
,C01,Cy5,,Unkn,BO_8,25.8222328326108,NaN
,C02,Cy5,,Unkn,BO_8,25.9187056429103,NaN
,C03,Cy5,,Unkn,BO_8,25.470639418348,NaN
,C04,Cy5,,Unkn,BO_15,25.6463557991526,NaN
,C05,Cy5,,Unkn,BO_15,25.6870939864882,NaN
,C06,Cy5,,Unkn,BO_15,25.5489138010835,NaN
,C08,Cy5,,Unkn,C2_8,26.0444228455602,NaN
,C09,Cy5,,Unkn,C2_8,25.6151604649837,NaN
,C10,Cy5,,Unkn,C2_8,25.6270765605921,NaN
,C11,Cy5,,Unkn,C2_15,25.5887537889816,NaN
,C12,Cy5,,Unkn,C2_15,25.542160239887,NaN
,C13,Cy5,,Unkn,C2_15,25.555445283518,NaN
,C15,Cy5,,Unkn,RD_8,25.3664445733481,NaN
,C18,Cy5,,Unkn,RD_15,25.950697116201,NaN
,C19,Cy5,,Unkn,RD_15,25.7506597352347,NaN
,C20,Cy5,,Unkn,RD_15,25.662076025792,NaN
,E01,Cy5,,Unkn,BO_9,25.8092246467983,NaN
,E02,Cy5,,Unkn,BO_9,25.691652259886,NaN
,E03,Cy5,,Unkn,BO_9,25.7168384632022,NaN
,E04,Cy5,,Unkn,BO_16,25.7100199764279,NaN
,E05,Cy5,,Unkn,BO_16,25.500872321903,NaN
,E06,Cy5,,Unkn,BO_16,25.5979114120526,NaN
,E08,Cy5,,Unkn,C2_9,25.7109117442401,NaN
,E09,Cy5,,Unkn,C2_9,25.9032880332736,NaN
,E10,Cy5,,Unkn,C2_9,25.5889706781096,NaN
,E11,Cy5,,Unkn,C2_16,25.5902299938745,NaN
,E12,Cy5,,Unkn,C2_16,25.5596733632989,NaN
,E13,Cy5,,Unkn,C2_16,25.3934525356833,NaN
,E15,Cy5,,Unkn,RD_9,29.4496541232458,NaN
,E18,Cy5,,Unkn,RD_16,26.042724278774,NaN
,E19,Cy5,,Unkn,RD_16,25.6539434601862,NaN
,E20,Cy5,,Unkn,RD_16,26.4421270436379,NaN
,G01,Cy5,,Unkn,BO_11,25.9215294808044,NaN
,G02,Cy5,,Unkn,BO_11,25.8294232563165,NaN
,G03,Cy5,,Unkn,BO_11,25.4115636504432,NaN
,G04,Cy5,,Unkn,BO_17,29.3510566486344,NaN
,G05,Cy5,,Unkn,BO_17,25.6835682545986,NaN
,G06,Cy5,,Unkn,BO_17,25.6942673820564,NaN
,G08,Cy5,,Unkn,C2_11,25.908040611117,NaN
,G09,Cy5,,Unkn,C2_11,25.6156426481003,NaN
,G10,Cy5,,Unkn,C2_11,25.544192146179,NaN
,G11,Cy5,,Unkn,C2_17,25.2642576855994,NaN
,G12,Cy5,,Unkn,C2_17,25.6715621408515,NaN
,G13,Cy5,,Unkn,C2_17,25.1258826502635,NaN
,G15,Cy5,,Unkn,RD_11,25.7609348712744,NaN
,G18,Cy5,,Unkn,RD_17,25.4717881673646,NaN
,G19,Cy5,,Unkn,RD_17,25.1021648479634,NaN
,G20,Cy5,,Unkn,RD_17,21.3758006297613,NaN
,I01,Cy5,,Unkn,BO_12,26.9980340407442,NaN
,I02,Cy5,,Unkn,BO_12,25.4812877578144,NaN
,I03,Cy5,,Unkn,BO_12,25.5215825535145,NaN
,I04,Cy5,,Unkn,BO_18,25.543353513639,NaN
,I05,Cy5,,Unkn,BO_18,25.6421999997723,NaN
,I06,Cy5,,Unkn,BO_18,25.7830957728027,NaN
,I08,Cy5,,Unkn,C2_12,25.2485011450123,NaN
,I09,Cy5,,Unkn,C2_12,26.1272552344225,NaN
,I10,Cy5,,Unkn,C2_12,11.2264053231519,NaN
,I11,Cy5,,Unkn,C2_18,28.1293744525515,NaN
,I12,Cy5,,Unkn,C2_18,27.1273150102734,NaN
,I13,Cy5,,Unkn,C2_18,36.3128384742884,NaN
,I15,Cy5,,Unkn,RD_12,25.4457847541979,NaN
,I18,Cy5,,Unkn,RD_18,25.350702150121,NaN
,I19,Cy5,,Unkn,RD_18,25.2920386256134,NaN
,I20,Cy5,,Unkn,RD_18,21.1863697979808,NaN
,K01,Cy5,,Unkn,BO_13,25.7403643767844,NaN
,K02,Cy5,,Unkn,BO_13,25.6109662254447,NaN
,K03,Cy5,,Unkn,BO_13,25.5376276296019,NaN
,K04,Cy5,,Unkn,BO_19,25.7200795132474,NaN
,K05,Cy5,,Unkn,BO_19,25.4656823626048,NaN
,K06,Cy5,,Unkn,BO_19,25.5587026043423,NaN
,K08,Cy5,,Unkn,C2_13,25.5474653041773,NaN
,K09,Cy5,,Unkn,C2_13,25.5115206427185,NaN
,K10,Cy5,,Unkn,C2_13,25.4713372503926,NaN
,K11,Cy5,,Unkn,C2_19,25.3344957073284,NaN
,K12,Cy5,,Unkn,C2_19,25.5930457209395,NaN
,K13,Cy5,,Unkn,C2_19,25.5116954290414,NaN
,K15,Cy5,,Unkn,RD_13,25.2011302352758,NaN
,K18,Cy5,,Unkn,RD_19,25.3695904598034,NaN
,K19,Cy5,,Unkn,RD_19,25.5380041055374,NaN
,K20,Cy5,,Unkn,RD_19,25.5786220449204,NaN
,O22,Cy5,,NTC,,25.4058965694037,NaN
,O23,Cy5,,NTC,,25.4777168445269,NaN
,O24,Cy5,,NTC,,25.6412701371223,NaN
,A01,HEX,,Unkn,BO_7,NaN,NaN
,A02,HEX,,Unkn,BO_7,NaN,NaN
,A03,HEX,,Unkn,BO_7,NaN,NaN
,A04,HEX,,Unkn,BO_14,NaN,NaN
,A05,HEX,,Unkn,BO_14,NaN,NaN
,A06,HEX,,Unkn,BO_14,NaN,NaN
,A08,HEX,,Unkn,C2_7,NaN,NaN
,A09,HEX,,Unkn,C2_7,NaN,NaN
,A10,HEX,,Unkn,C2_7,NaN,NaN
,A11,HEX,,Unkn,C2_14,36.9316949718883,NaN
,A12,HEX,,Unkn,C2_14,35.3545975428028,NaN
,A13,HEX,,Unkn,C2_14,37.1002908866779,NaN
,A15,HEX,,Unkn,RD_7,34.4818460295953,NaN
,A18,HEX,,Unkn,RD_14,NaN,NaN
,A19,HEX,,Unkn,RD_14,NaN,NaN
,A20,HEX,,Unkn,RD_14,NaN,NaN
,A22,HEX,,Pos Ctrl,,23.0695817834188,NaN
,A23,HEX,,Pos Ctrl,,23.1909098412611,NaN
,A24,HEX,,Pos Ctrl,,23.0362246840359,NaN
,C01,HEX,,Unkn,BO_8,37.2442444297164,NaN
,C02,HEX,,Unkn,BO_8,NaN,NaN
,C03,HEX,,Unkn,BO_8,34.7296483592144,NaN
,C04,HEX,,Unkn,BO_15,NaN,NaN
,C05,HEX,,Unkn,BO_15,NaN,NaN
,C06,HEX,,Unkn,BO_15,34.4152142033262,NaN
,C08,HEX,,Unkn,C2_8,36.3126723996021,NaN
,C09,HEX,,Unkn,C2_8,36.224962428386,NaN
,C10,HEX,,Unkn,C2_8,35.7357492874594,NaN
,C11,HEX,,Unkn,C2_15,NaN,NaN
,C12,HEX,,Unkn,C2_15,35.5646058523601,NaN
,C13,HEX,,Unkn,C2_15,NaN,NaN
,C15,HEX,,Unkn,RD_8,34.3406671241842,NaN
,C18,HEX,,Unkn,RD_15,36.8206819247443,NaN
,C19,HEX,,Unkn,RD_15,34.5962658350135,NaN
,C20,HEX,,Unkn,RD_15,34.6763626364692,NaN
,E01,HEX,,Unkn,BO_9,NaN,NaN
,E02,HEX,,Unkn,BO_9,NaN,NaN
,E03,HEX,,Unkn,BO_9,NaN,NaN
,E04,HEX,,Unkn,BO_16,NaN,NaN
,E05,HEX,,Unkn,BO_16,36.4344255177169,NaN
,E06,HEX,,Unkn,BO_16,36.363073120111,NaN
,E08,HEX,,Unkn,C2_9,NaN,NaN
,E09,HEX,,Unkn,C2_9,NaN,NaN
,E10,HEX,,Unkn,C2_9,35.5756405649013,NaN
,E11,HEX,,Unkn,C2_16,NaN,NaN
,E12,HEX,,Unkn,C2_16,35.9234103716853,NaN
,E13,HEX,,Unkn,C2_16,34.3394079618428,NaN
,E15,HEX,,Unkn,RD_9,NaN,NaN
,E18,HEX,,Unkn,RD_16,35.3728560761479,NaN
,E19,HEX,,Unkn,RD_16,37.2898791886561,NaN
,E20,HEX,,Unkn,RD_16,37.338469324493,NaN
,G01,HEX,,Unkn,BO_11,NaN,NaN
,G02,HEX,,Unkn,BO_11,NaN,NaN
,G03,HEX,,Unkn,BO_11,NaN,NaN
,G04,HEX,,Unkn,BO_17,NaN,NaN
,G05,HEX,,Unkn,BO_17,NaN,NaN
,G06,HEX,,Unkn,BO_17,33.7987582389619,NaN
,G08,HEX,,Unkn,C2_11,NaN,NaN
,G09,HEX,,Unkn,C2_11,35.4254328874408,NaN
,G10,HEX,,Unkn,C2_11,NaN,NaN
,G11,HEX,,Unkn,C2_17,NaN,NaN
,G12,HEX,,Unkn,C2_17,35.8052071124843,NaN
,G13,HEX,,Unkn,C2_17,NaN,NaN
,G15,HEX,,Unkn,RD_11,NaN,NaN
,G18,HEX,,Unkn,RD_17,NaN,NaN
,G19,HEX,,Unkn,RD_17,35.3614835171093,NaN
,G20,HEX,,Unkn,RD_17,NaN,NaN
,I01,HEX,,Unkn,BO_12,NaN,NaN
,I02,HEX,,Unkn,BO_12,NaN,NaN
,I03,HEX,,Unkn,BO_12,35.2365033224864,NaN
,I04,HEX,,Unkn,BO_18,NaN,NaN
,I05,HEX,,Unkn,BO_18,NaN,NaN
,I06,HEX,,Unkn,BO_18,34.3522637125525,NaN
,I08,HEX,,Unkn,C2_12,34.6640582935337,NaN
,I09,HEX,,Unkn,C2_12,NaN,NaN
,I10,HEX,,Unkn,C2_12,11.6536110215991,NaN
,I11,HEX,,Unkn,C2_18,NaN,NaN
,I12,HEX,,Unkn,C2_18,NaN,NaN
,I13,HEX,,Unkn,C2_18,NaN,NaN
,I15,HEX,,Unkn,RD_12,NaN,NaN
,I18,HEX,,Unkn,RD_18,NaN,NaN
,I19,HEX,,Unkn,RD_18,NaN,NaN
,I20,HEX,,Unkn,RD_18,NaN,NaN
,K01,HEX,,Unkn,BO_13,NaN,NaN
,K02,HEX,,Unkn,BO_13,NaN,NaN
,K03,HEX,,Unkn,BO_13,NaN,NaN
,K04,HEX,,Unkn,BO_19,34.8854164607921,NaN
,K05,HEX,,Unkn,BO_19,NaN,NaN
,K06,HEX,,Unkn,BO_19,35.5588587458578,NaN
,K08,HEX,,Unkn,C2_13,NaN,NaN
,K09,HEX,,Unkn,C2_13,NaN,NaN
,K10,HEX,,Unkn,C2_13,36.5175576314435,NaN
,K11,HEX,,Unkn,C2_19,NaN,NaN
,K12,HEX,,Unkn,C2_19,NaN,NaN
,K13,HEX,,Unkn,C2_19,NaN,NaN
,K15,HEX,,Unkn,RD_13,35.4857909926472,NaN
,K18,HEX,,Unkn,RD_19,NaN,NaN
,K19,HEX,,Unkn,RD_19,NaN,NaN
,K20,HEX,,Unkn,RD_19,35.4926881253523,NaN
,O22,HEX,,NTC,,NaN,NaN
,O23,HEX,,NTC,,NaN,NaN
,O24,HEX,,NTC,,NaN,NaN
