Type,Sample,Cq
Daily,BO11,25.8456495
Daily,BO11,25.8083313
Daily,BO11,25.6330395
Daily,BO12,28.2229613
Daily,BO12,28.2537648
Daily,BO12,27.7991198
Daily,BO13,27.4380915
Daily,BO13,27.4878665
Daily,BO13,27.255857
Daily,BO14,25.9742891
Daily,BO14,25.8904817
Daily,BO14,25.7197188
Daily,BO15,27.2419145
Daily,BO15,27.1027392
Daily,BO15,27.2398529
Daily,BO16REDO,24.9092494
Daily,BO16REDO,24.4785934
Daily,BO16REDO,24.60562147
Daily,BO17,26.9760427
Daily,BO17,26.8708341
Daily,BO17,26.9380652
Daily,BO18,27.3834008
Daily,BO18,27.4586637
Daily,BO18,27.3485857
Daily,BO19,26.7824805
Daily,BO19,26.844966
Daily,BO19,27.0234851
Daily,BO7,26.907251
Daily,BO7,26.5659553
Daily,BO7,26.4397012
Daily,BO8,26.3515993
Daily,BO8,26.2588038
Daily,BO8,26.0580744
Daily,BO9,26.5216393
Daily,BO9,26.4629701
Daily,BO9,26.3099203
Daily,C211,25.2933564
Daily,C211,25.1468393
Daily,C211,25.2329572
Daily,C212,24.1178456
Daily,C212,24.0592864
Daily,C212,24.0751122
Daily,C213,23.8313543
Daily,C213,23.9134993
Daily,C213,23.8147524
Daily,C214,24.9057857
Daily,C214,24.5696509
Daily,C214,24.1427068
Daily,C215,25.4798302
Daily,C215,24.5817416
Daily,C215,24.383881
Daily,C216,23.4094366
Daily,C216,23.5933143
Daily,C216,23.6515164
Daily,C217,24.7143538
Daily,C217,25.0262675
Daily,C217,24.8994038
Daily,C218,22.9512753
Daily,C218,23.1206897
Daily,C218,23.1144867
Daily,C219REDO,22.54770525
Daily,C219REDO,23.47044291
Daily,C219REDO,23.37880083
Daily,C27REDO,23.51667445
Daily,C27REDO,23.47317286
Daily,C27REDO,23.44554972
Daily,C28,24.099588
Daily,C28,24.2126531
Daily,C28,23.9659855
Daily,C29,25.9424358
Daily,C29,25.8416427
Daily,C29,25.7321305
Daily,RD7,29.0979104
Daily,RD11,28.7727664
Daily,RD11,28.2747212
Daily,RD11,28.5934736
Daily,RD12,22.3666576
Daily,RD12,22.2677072
Daily,RD12,22.3786678
Daily,RD13,22.1362927
