yyymmddtt,ABF,dust,ust,smoke,SS Total AOT,hr,date,type
2022020100,0.1,0.03,0.02,0.1,0.24,0,2022-02-01,
2022020106,0.04,0.01,0.01,0.03,0.09,6,2022-02-01,
2022020112,0.04,0.01,0.01,0.02,0.09,12,2022-02-01,
2022020118,0.03,0.01,0,0.02,0.06,18,2022-02-01,
2022020200,0.02,0.01,0,0.01,0.05,0,2022-02-02,
2022020206,0.04,0.03,0.01,0.02,0.1,6,2022-02-02,
2022020212,0.09,0.02,0.03,0.05,0.19,12,2022-02-02,
2022020218,0.1,0,0.04,0.05,0.19,18,2022-02-02,
2022020300,0.13,0,0.05,0.03,0.22,0,2022-02-03,
2022020306,0.22,0.01,0.07,0.04,0.34,6,2022-02-03,
2022020312,0.2,0.01,0.06,0.03,0.29,12,2022-02-03,
2022020318,0.14,0,0.04,0.02,0.2,18,2022-02-03,
2022020400,0.07,0,0.02,0.01,0.11,0,2022-02-04,
2022020406,0.06,0.01,0.01,0.01,0.09,6,2022-02-04,
2022020412,0.08,0.01,0.01,0.02,0.11,12,2022-02-04,
2022020418,0.09,0.04,0.01,0.02,0.15,18,2022-02-04,
2022020500,0.04,0.04,0.01,0.01,0.1,0,2022-02-05,
2022020506,0.06,0.03,0.01,0.01,0.11,6,2022-02-05,
2022020512,0.04,0.02,0.01,0.01,0.08,12,2022-02-05,
2022020518,0.04,0.02,0.01,0.01,0.08,18,2022-02-05,
2022020600,0.04,0.02,0.01,0.01,0.07,0,2022-02-06,
2022020606,0.03,0.03,0.01,0.01,0.08,6,2022-02-06,
2022020612,0.05,0.02,0.01,0.01,0.09,12,2022-02-06,
2022020618,0.09,0.02,0.02,0.02,0.15,18,2022-02-06,
2022020700,0.09,0.03,0.02,0.03,0.17,0,2022-02-07,
2022020706,0.12,0.02,0.02,0.04,0.2,6,2022-02-07,
2022020712,0.16,0.02,0.02,0.04,0.24,12,2022-02-07,
2022020718,0.1,0.03,0.02,0.01,0.16,18,2022-02-07,
2022020800,0.06,0.02,0.02,0.01,0.1,0,2022-02-08,
2022020806,0.04,0.01,0.01,0.01,0.08,6,2022-02-08,
2022020812,0.04,0.01,0.01,0.01,0.07,12,2022-02-08,
2022020818,0.03,0.01,0.01,0.01,0.06,18,2022-02-08,
2022020900,0.03,0.01,0.01,0.01,0.06,0,2022-02-09,
2022020906,0.03,0.01,0.01,0.01,0.06,6,2022-02-09,
2022020912,0.03,0.01,0.01,0.01,0.06,12,2022-02-09,
2022020918,0.04,0.02,0.01,0.01,0.08,18,2022-02-09,
2022021000,0.04,0.03,0.01,0.01,0.08,0,2022-02-10,
2022021006,0.03,0.04,0.01,0.01,0.09,6,2022-02-10,
2022021012,0.03,0.04,0.01,0.01,0.08,12,2022-02-10,
2022021018,0.04,0.03,0.01,0.01,0.09,18,2022-02-10,
2022021100,0.04,0.03,0.01,0.01,0.09,0,2022-02-11,
2022021106,0.04,0.03,0.01,0.01,0.09,6,2022-02-11,
2022021112,0.04,0.02,0.01,0,0.09,12,2022-02-11,
2022021118,0.06,0.01,0.01,0,0.1,18,2022-02-11,
2022021200,0.06,0.02,0.01,0.01,0.1,0,2022-02-12,
2022021206,0.05,0.04,0.01,0.01,0.12,6,2022-02-12,
2022021212,0.07,0.03,0.02,0.02,0.14,12,2022-02-12,
2022021218,0.15,0.03,0.03,0.03,0.24,18,2022-02-12,
