cq,sample
26.21344307,BO_7_i
26.32506872,BO_7_i
26.13299539,BO_7_i
26.10983763,BO_11_i
26.09499475,BO_11_i
26.05260816,BO_11_i
26.18987599,BO_15_i
26.17179942,BO_15_i
26.13758314,BO_15_i
26.26359582,BO_16_i
26.07379089,BO_16_i
26.10571768,BO_16_i
26.69784971,BO_18_i
26.52467197,BO_18_i
26.28743253,BO_18_i
26.07366161,BO_19_i
26.00233786,BO_19_i
26.02004092,BO_19_i
0,BO_7
0,BO_7
0,BO_7
0,BO_11 
0,BO_11 
0,BO_11 
0,BO_15
0,BO_15
0,BO_15
0,BO_16
0,BO_16
0,BO_16
0,BO_18
0,BO_18
0,BO_18
0,BO_19
0,BO_19
0,BO_19
24.3265548,E3
24.2849524,E3
24.2535129,E3
