Well,Fluor,Target,Content,Sample,Cq,SQ,filter_amt
A01,Cy5,,Unkn,BO_7,24.41264068,0.264907586,100
A02,Cy5,,Unkn,BO_7,24.31050684,37143998.57,100
A03,Cy5,,Unkn,BO_7,24.29936588,287446469,100
A04,Cy5,,Unkn,BO_14,24.43951901,0.001901606,50
A05,Cy5,,Unkn,BO_14,24.28443598,4461215978,50
A06,Cy5,,Unkn,BO_14,24.29253417,1008076974,50
A08,Cy5,,Unkn,C2_7,24.29223575,1064872454,100
A09,Cy5,,Unkn,C2_7,24.50194773,1.99E-08,100
A10,Cy5,,Unkn,C2_7,24.46886626,8.67E-06,100
A11,Cy5,,Unkn,C2_14,24.57654738,2.23E-14,100
A12,Cy5,,Unkn,C2_14,24.66100173,4.10E-21,100
A13,Cy5,,Unkn,C2_14,24.54855445,3.82E-12,100
A15,Cy5,,Unkn,RD_7,24.55705068,8.02E-13,100
A16,Cy5,,Unkn,RD_7,24.59244424,1.20E-15,100
A17,Cy5,,Unkn,RD_7,24.5507913,2.53E-12,100
A18,Cy5,,Unkn,RD_14,24.41218453,0.288057558,100
A19,Cy5,,Unkn,RD_14,24.50592232,9.60E-09,100
A20,Cy5,,Unkn,RD_14,24.50667924,8.36E-09,100
A22,Cy5,,Std,,24.44929945,3700000,
A23,Cy5,,Std,,23.64740184,3700000,
A24,Cy5,,Std,,24.51362936,3700000,
C01,Cy5,,Unkn,BO_8,24.40384254,1.333169363,100
C02,Cy5,,Unkn,BO_8,24.32192169,4564285.065,100
C03,Cy5,,Unkn,BO_8,24.35795239,6100.326976,100
C04,Cy5,,Unkn,BO_15,24.32605814,2135134.512,50
C05,Cy5,,Unkn,BO_15,24.30008432,251912321.5,50
C06,Cy5,,Unkn,BO_15,24.25245181,1.59E+12,50
C08,Cy5,,Unkn,C2_8,24.46501426,1.76E-05,100
C09,Cy5,,Unkn,C2_8,24.37971478,112.0616542,100
C10,Cy5,,Unkn,C2_8,24.35383641,12991.75589,100
C11,Cy5,,Unkn,C2_15,24.33972238,173574.2935,100
C12,Cy5,,Unkn,C2_15,24.34599102,54886.10374,100
C13,Cy5,,Unkn,C2_15,24.42107709,0.056254447,100
C15,Cy5,,Unkn,RD_8,24.41350845,0.225879027,100
C16,Cy5,,Unkn,RD_8,24.34041399,152868.6917,100
C17,Cy5,,Unkn,RD_8,24.46292311,2.58E-05,100
C18,Cy5,,Unkn,RD_15,24.43134473,0.008533929,100
C19,Cy5,,Unkn,RD_15,24.74074784,1.78E-27,100
C20,Cy5,,Unkn,RD_15,24.2834524,5344528620,100
C22,Cy5,,Std,,24.26844443,370000,
C23,Cy5,,Std,,24.18705693,370000,
C24,Cy5,,Std,,24.22314194,370000,
E01,Cy5,,Unkn,BO_9,24.43071368,0.009582657,100
E02,Cy5,,Unkn,BO_9,24.38157402,79.64401084,100
E03,Cy5,,Unkn,BO_9,23.71433534,1.33E+55,100
E04,Cy5,,Unkn,BO_16,24.42226037,0.045265877,30
E05,Cy5,,Unkn,BO_16,24.33678129,297909.4155,30
E06,Cy5,,Unkn,BO_16,24.13606648,3.05E+21,30
