,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,,Unkn,BO_7,24.412640676693,0.264907585769245
,A02,Cy5,,Unkn,BO_7,24.3105068365674,37143998.571508
,A03,Cy5,,Unkn,BO_7,24.2993658766199,287446468.976381
,A04,Cy5,,Unkn,BO_14,24.4395190149502,0.00190160562274547
,A05,Cy5,,Unkn,BO_14,24.2844359783721,4461215978.04651
,A06,Cy5,,Unkn,BO_14,24.2925341735317,1008076973.677
,A08,Cy5,,Unkn,C2_7,24.2922357514214,1064872454.22878
,A09,Cy5,,Unkn,C2_7,24.5019477286863,1.99269121242558E-08
,A10,Cy5,,Unkn,C2_7,24.4688662626501,8.6738480519535E-06
,A11,Cy5,,Unkn,C2_14,24.5765473753406,2.2332356277101E-14
,A12,Cy5,,Unkn,C2_14,24.6610017323569,4.09599651465878E-21
,A13,Cy5,,Unkn,C2_14,24.5485544516126,3.81781047733051E-12
,A15,Cy5,,Unkn,RD_7,24.5570506752219,8.01873252130431E-13
,A16,Cy5,,Unkn,RD_7,24.5924442351509,1.20478000141356E-15
,A17,Cy5,,Unkn,RD_7,24.5507913030455,2.53157018737437E-12
,A18,Cy5,,Unkn,RD_14,24.4121845307124,0.288057557655157
,A19,Cy5,,Unkn,RD_14,24.5059223232472,9.60291370964219E-09
,A20,Cy5,,Unkn,RD_14,24.5066792365384,8.35655318962439E-09
,A22,Cy5,,Std,,24.4492994467698,3700000
,A23,Cy5,,Std,,23.6474018417331,3700000
,A24,Cy5,,Std,,24.5136293629881,3700000
,C01,Cy5,,Unkn,BO_8,24.4038425408403,1.33316936319094
,C02,Cy5,,Unkn,BO_8,24.3219216927325,4564285.06479133
,C03,Cy5,,Unkn,BO_8,24.3579523882184,6100.32697612637
,C04,Cy5,,Unkn,BO_15,24.3260581427538,2135134.51158327
,C05,Cy5,,Unkn,BO_15,24.3000843238755,251912321.516223
,C06,Cy5,,Unkn,BO_15,24.2524518066157,1587444038515.12
,C08,Cy5,,Unkn,C2_8,24.465014258034,1.75982829447233E-05
,C09,Cy5,,Unkn,C2_8,24.3797147805827,112.061654219811
,C10,Cy5,,Unkn,C2_8,24.3538364078853,12991.7558851255
,C11,Cy5,,Unkn,C2_15,24.3397223813778,173574.293463872
,C12,Cy5,,Unkn,C2_15,24.3459910151401,54886.1037405861
,C13,Cy5,,Unkn,C2_15,24.4210770864241,0.0562544473077918
,C15,Cy5,,Unkn,RD_8,24.4135084474421,0.225879027353153
,C16,Cy5,,Unkn,RD_8,24.3404139912062,152868.691738261
,C17,Cy5,,Unkn,RD_8,24.4629231093321,2.5838814508587E-05
,C18,Cy5,,Unkn,RD_15,24.4313447344343,0.00853392892367439
,C19,Cy5,,Unkn,RD_15,24.7407478374831,1.78378456209786E-27
,C20,Cy5,,Unkn,RD_15,24.2834523977813,5344528620.45245
,C22,Cy5,,Std,,24.2684444286051,370000
,C23,Cy5,,Std,,24.1870569305926,370000
,C24,Cy5,,Std,,24.2231419431885,370000
,E01,Cy5,,Unkn,BO_9,24.4307136760756,0.00958265688724163
,E02,Cy5,,Unkn,BO_9,24.3815740207911,79.6440108404262
,E03,Cy5,,Unkn,BO_9,23.7143353424088,1.33052942496602E+55
,E04,Cy5,,Unkn,BO_16,24.4222603735612,0.0452658769296677
,E05,Cy5,,Unkn,BO_16,24.3367812884824,297909.415532187
,E06,Cy5,,Unkn,BO_16,24.136066483439,3.04982259982588E+21
,E08,Cy5,,Unkn,C2_9,24.3272336548981,1720519.08957792
,E09,Cy5,,Unkn,C2_9,24.4127718850566,0.258599955555561
,E10,Cy5,,Unkn,C2_9,24.4603074257177,4.17748456849446E-05
,E11,Cy5,,Unkn,C2_16,24.1771292724823,1.61757947746317E+18
,E12,Cy5,,Unkn,C2_16,24.4451481263523,0.000676253466145212
,E13,Cy5,,Unkn,C2_16,24.420933303447,0.057759820633983
,E15,Cy5,,Unkn,RD_9,24.2674582073365,100855565147.159
,E16,Cy5,,Unkn,RD_9,24.3631270001786,2358.2818403373
,E17,Cy5,,Unkn,RD_9,24.4008113391191,2.32633233234226
,E18,Cy5,,Unkn,RD_16,24.4203066536837,0.0648053853348396
,E19,Cy5,,Unkn,RD_16,24.3854585825382,39.0209365671405
,E20,Cy5,,Unkn,RD_16,24.2728511602744,37456423186.6113
,E22,Cy5,,Std,,24.3518442768029,37000
,E23,Cy5,,Std,,24.8505746145904,37000
,E24,Cy5,,Std,,24.6597732554547,37000
,G01,Cy5,,Unkn,BO_11,24.4625241267631,2.78033914702835E-05
,G02,Cy5,,Unkn,BO_11,24.3560432513212,8662.37683383132
,G03,Cy5,,Unkn,BO_11,24.1932911337531,8.31190860788961E+16
,G04,Cy5,,Unkn,BO_17,24.2968934986483,452656070.890675
,G05,Cy5,,Unkn,BO_17,24.3523031024031,17217.6268783022
,G06,Cy5,,Unkn,BO_17,24.2299104814015,99707255586155.8
,G08,Cy5,,Unkn,C2_11,24.501500845521,2.16314697473909E-08
,G09,Cy5,,Unkn,C2_11,24.3857234395324,37.1681667891711
,G10,Cy5,,Unkn,C2_11,24.4215375972181,0.0516920576051039
,G11,Cy5,,Unkn,C2_17,24.3349789737975,414808.285047868
,G12,Cy5,,Unkn,C2_17,24.3230617955233,3701957.88422522
,G13,Cy5,,Unkn,C2_17,24.2820744277735,6883738735.59022
,G15,Cy5,,Unkn,RD_11,24.3907487835809,14.7679501840047
,G16,Cy5,,Unkn,RD_11,24.3812329533326,84.7927389942468
,G17,Cy5,,Unkn,RD_11,24.3558450260654,8983.56432718909
,G18,Cy5,,Unkn,RD_17,24.3220881665775,4426840.04777096
,G19,Cy5,,Unkn,RD_17,24.3556456544142,9318.62283799069
,G20,Cy5,,Unkn,RD_17,24.2680849281109,89889495227.6112
,G22,Cy5,,Std,,24.264166610341,3700
,G23,Cy5,,Std,,24.2915079273629,3700
,G24,Cy5,,Std,,24.6566624537446,3700
,I01,Cy5,,Unkn,BO_12,24.4343319791017,0.00493024909469853
,I02,Cy5,,Unkn,BO_12,24.4720861862564,4.80144339574067E-06
,I03,Cy5,,Unkn,BO_12,24.386170158584,34.2403510844083
,I04,Cy5,,Unkn,BO_18,24.2805444330795,9117289211.43608
,I05,Cy5,,Unkn,BO_18,24.1712472483357,4.76486259438327E+18
,I06,Cy5,,Unkn,BO_18,24.2618065779506,284778358625.511
,I08,Cy5,,Unkn,C2_12,24.1873272437981,2.48551054203095E+17
,I09,Cy5,,Unkn,C2_12,24.3191936185759,7533208.01367672
,I10,Cy5,,Unkn,C2_12,24.2623192582574,259186629222.467
,I11,Cy5,,Unkn,C2_18,24.346788216139,47410.32950099
,I12,Cy5,,Unkn,C2_18,24.1711135438861,4.88332279293844E+18
,I13,Cy5,,Unkn,C2_18,24.2726156052544,39112497947.693
,I15,Cy5,,Unkn,RD_12,24.2930791421262,912060825.771829
,I16,Cy5,,Unkn,RD_12,24.3032382129169,141148646.472222
,I17,Cy5,,Unkn,RD_12,24.3789852705004,128.128880898428
,I18,Cy5,,Unkn,RD_18,25.0182537053126,1.30570896969283E-49
,I19,Cy5,,Unkn,RD_18,24.962395684472,3.72743279821626E-45
,I20,Cy5,,Unkn,RD_18,24.1654115210161,1.39168910633855E+19
,I22,Cy5,,Std,,24.3666593141277,370
,I23,Cy5,,Std,,24.1792444831048,370
,I24,Cy5,,Std,,24.7490708017772,370
,K01,Cy5,,Unkn,BO_13,24.406697683678,0.789118785766483
,K02,Cy5,,Unkn,BO_13,24.2759180963931,21325021907.3617
,K03,Cy5,,Unkn,BO_13,24.3488761706297,32309.1456740123
,K04,Cy5,,Unkn,BO_19,24.2768863210544,17850821484.5332
,K05,Cy5,,Unkn,BO_19,24.2565594206021,746536481011.932
,K06,Cy5,,Unkn,BO_19,24.1682581039434,8.25053429583123E+18
,K08,Cy5,,Unkn,C2_13,24.4300890648255,0.0107475282627557
,K09,Cy5,,Unkn,C2_13,24.2413992671465,12086868920565.4
,K10,Cy5,,Unkn,C2_13,24.3169474185587,11380204.0851693
,K11,Cy5,,Unkn,C2_19,24.2427935473623,9356164365352.99
,K12,Cy5,,Unkn,C2_19,24.3715804851103,499.224805020877
,K13,Cy5,,Unkn,C2_19,24.2241556350222,286924128208884
,K15,Cy5,,Unkn,RD_13,24.3204058982944,6029501.63842566
,K16,Cy5,,Unkn,RD_13,24.300365310749,239241352.399233
,K17,Cy5,,Unkn,RD_13,24.3728456674199,395.710699149515
,K18,Cy5,,Unkn,RD_19,24.0743168425244,2.56914250014259E+26
,K19,Cy5,,Unkn,RD_19,24.139301245237,1.68364684361922E+21
,K20,Cy5,,Unkn,RD_19,24.1394079952565,1.65095787697607E+21
,K22,Cy5,,Std,,24.2479572464589,37
,K23,Cy5,,Std,,24.2960318491717,37
,K24,Cy5,,Std,,24.3945088279437,37
,M22,Cy5,,Std,,24.3558023496758,3.7
,M23,Cy5,,Std,,24.3125995161144,3.7
,M24,Cy5,,Std,,24.3087922281563,3.7
,P22,Cy5,,NTC,,24.5595510499272,NaN
,P23,Cy5,,NTC,,24.580252968613,NaN
,P24,Cy5,,NTC,,24.5316806263778,NaN
,A01,HEX,,Unkn,BO_7,NaN,NaN
,A02,HEX,,Unkn,BO_7,NaN,NaN
,A03,HEX,,Unkn,BO_7,NaN,NaN
,A04,HEX,,Unkn,BO_14,NaN,NaN
,A05,HEX,,Unkn,BO_14,NaN,NaN
,A06,HEX,,Unkn,BO_14,NaN,NaN
,A08,HEX,,Unkn,C2_7,NaN,NaN
,A09,HEX,,Unkn,C2_7,NaN,NaN
,A10,HEX,,Unkn,C2_7,NaN,NaN
,A11,HEX,,Unkn,C2_14,NaN,NaN
,A12,HEX,,Unkn,C2_14,42.6977979585456,0.00780821341424319
,A13,HEX,,Unkn,C2_14,NaN,NaN
,A15,HEX,,Unkn,RD_7,35.6527162196715,1.19327979282272
,A16,HEX,,Unkn,RD_7,NaN,NaN
,A17,HEX,,Unkn,RD_7,36.604043381388,0.605064672789518
,A18,HEX,,Unkn,RD_14,38.5295814015139,0.153047476535515
,A19,HEX,,Unkn,RD_14,41.5987790959342,0.0171112250961479
,A20,HEX,,Unkn,RD_14,38.1450700620759,0.201389321069505
,A22,HEX,,Std,,14.8440142791999,3700000
,A23,HEX,,Std,,15.0145744547486,3700000
,A24,HEX,,Std,,14.5230982519201,3700000
,C01,HEX,,Unkn,BO_8,NaN,NaN
,C02,HEX,,Unkn,BO_8,NaN,NaN
,C03,HEX,,Unkn,BO_8,NaN,NaN
,C04,HEX,,Unkn,BO_15,NaN,NaN
,C05,HEX,,Unkn,BO_15,NaN,NaN
,C06,HEX,,Unkn,BO_15,NaN,NaN
,C08,HEX,,Unkn,C2_8,NaN,NaN
,C09,HEX,,Unkn,C2_8,NaN,NaN
,C10,HEX,,Unkn,C2_8,43.0085411596653,0.00625477637949596
,C11,HEX,,Unkn,C2_15,42.9192459120244,0.00666647174484334
,C12,HEX,,Unkn,C2_15,NaN,NaN
,C13,HEX,,Unkn,C2_15,NaN,NaN
,C15,HEX,,Unkn,RD_8,36.1002538799846,0.866945779011588
,C16,HEX,,Unkn,RD_8,34.787056140513,2.21372343312241
,C17,HEX,,Unkn,RD_8,34.4168681424651,2.88332072250495
,C18,HEX,,Unkn,RD_15,34.8011531216562,2.19155748795313
,C19,HEX,,Unkn,RD_15,36.1939857418043,0.810834455324322
,C20,HEX,,Unkn,RD_15,35.4559235342754,1.37326398992069
,C22,HEX,,Std,,17.9312044716383,370000
,C23,HEX,,Std,,17.9536118321248,370000
,C24,HEX,,Std,,17.8597163559926,370000
,E01,HEX,,Unkn,BO_9,NaN,NaN
,E02,HEX,,Unkn,BO_9,NaN,NaN
,E03,HEX,,Unkn,BO_9,NaN,NaN
,E04,HEX,,Unkn,BO_16,NaN,NaN
,E05,HEX,,Unkn,BO_16,NaN,NaN
,E06,HEX,,Unkn,BO_16,NaN,NaN
,E08,HEX,,Unkn,C2_9,NaN,NaN
,E09,HEX,,Unkn,C2_9,NaN,NaN
,E10,HEX,,Unkn,C2_9,NaN,NaN
,E11,HEX,,Unkn,C2_16,38.6520390426198,0.140236338068742
,E12,HEX,,Unkn,C2_16,37.8999416583675,0.239901925208726
,E13,HEX,,Unkn,C2_16,42.6549001648426,0.00805102734697889
,E15,HEX,,Unkn,RD_9,34.1350716159306,3.52580660637456
,E16,HEX,,Unkn,RD_9,35.4222435855461,1.40668172480634
,E17,HEX,,Unkn,RD_9,34.0170181382141,3.83582400385908
,E18,HEX,,Unkn,RD_16,NaN,NaN
,E19,HEX,,Unkn,RD_16,33.797980913379,4.48504603701818
,E20,HEX,,Unkn,RD_16,36.2922065429718,0.755928545480145
,E22,HEX,,Std,,21.1070301622437,37000
,E23,HEX,,Std,,21.2739425254823,37000
,E24,HEX,,Std,,21.1172829944506,37000
,G01,HEX,,Unkn,BO_11,NaN,NaN
,G02,HEX,,Unkn,BO_11,NaN,NaN
,G03,HEX,,Unkn,BO_11,NaN,NaN
,G04,HEX,,Unkn,BO_17,NaN,NaN
,G05,HEX,,Unkn,BO_17,NaN,NaN
,G06,HEX,,Unkn,BO_17,NaN,NaN
,G08,HEX,,Unkn,C2_11,36.2324096106761,0.78889575967935
,G09,HEX,,Unkn,C2_11,34.7995685635233,2.1940379174455
,G10,HEX,,Unkn,C2_11,36.8256023153832,0.516549276325264
,G11,HEX,,Unkn,C2_17,33.6831846154605,4.86807505370943
,G12,HEX,,Unkn,C2_17,36.7512362970097,0.544712693115573
,G13,HEX,,Unkn,C2_17,34.4210462285023,2.87473369182795
,G15,HEX,,Unkn,RD_11,36.3826333269081,0.708672661694277
,G16,HEX,,Unkn,RD_11,34.9160101136013,2.01903426885054
,G17,HEX,,Unkn,RD_11,36.215749332932,0.798334351489755
,G18,HEX,,Unkn,RD_17,38.2303026631245,0.189501096424529
,G19,HEX,,Unkn,RD_17,37.487084138028,0.322130747173177
,G20,HEX,,Unkn,RD_17,NaN,NaN
,G22,HEX,,Std,,24.3265547824642,3700
,G23,HEX,,Std,,24.2849523917897,3700
,G24,HEX,,Std,,24.2535128943349,3700
,I01,HEX,,Unkn,BO_12,NaN,NaN
,I02,HEX,,Unkn,BO_12,NaN,NaN
,I03,HEX,,Unkn,BO_12,NaN,NaN
,I04,HEX,,Unkn,BO_18,NaN,NaN
,I05,HEX,,Unkn,BO_18,NaN,NaN
,I06,HEX,,Unkn,BO_18,NaN,NaN
,I08,HEX,,Unkn,C2_12,36.7728727391854,0.536363896714989
,I09,HEX,,Unkn,C2_12,42.8471455863747,0.00701858149185301
,I10,HEX,,Unkn,C2_12,37.0929518498109,0.426800807601953
,I11,HEX,,Unkn,C2_18,43.3592199790609,0.00486957027746652
,I12,HEX,,Unkn,C2_18,40.0446377262766,0.0518934348705471
,I13,HEX,,Unkn,C2_18,NaN,NaN
,I15,HEX,,Unkn,RD_12,34.7306372548902,2.30470286006214
,I16,HEX,,Unkn,RD_12,38.1421029866507,0.201816338139166
,I17,HEX,,Unkn,RD_12,34.8379581638227,2.1347261967438
,I18,HEX,,Unkn,RD_18,35.1015614738796,1.76854900712815
,I19,HEX,,Unkn,RD_18,34.8360813121692,2.13758828675866
,I20,HEX,,Unkn,RD_18,35.3172237517565,1.51619549801769
,I22,HEX,,Std,,27.6804640675332,370
,I23,HEX,,Std,,27.6926963713753,370
,I24,HEX,,Std,,27.5182995018043,370
,K01,HEX,,Unkn,BO_13,NaN,NaN
,K02,HEX,,Unkn,BO_13,NaN,NaN
,K03,HEX,,Unkn,BO_13,NaN,NaN
,K04,HEX,,Unkn,BO_19,NaN,NaN
,K05,HEX,,Unkn,BO_19,NaN,NaN
,K06,HEX,,Unkn,BO_19,NaN,NaN
,K08,HEX,,Unkn,C2_13,40.4518530666417,0.0388028137702176
,K09,HEX,,Unkn,C2_13,NaN,NaN
,K10,HEX,,Unkn,C2_13,37.7225435995085,0.27229053928875
,K11,HEX,,Unkn,C2_19,NaN,NaN
,K12,HEX,,Unkn,C2_19,NaN,NaN
,K13,HEX,,Unkn,C2_19,NaN,NaN
,K15,HEX,,Unkn,RD_13,42.5455240009671,0.00870484925646138
,K16,HEX,,Unkn,RD_13,34.2453985723677,3.2587703745485
,K17,HEX,,Unkn,RD_13,36.0573786232259,0.893891023630183
,K18,HEX,,Unkn,RD_19,40.8766654485157,0.0286522281261908
,K19,HEX,,Unkn,RD_19,NaN,NaN
,K20,HEX,,Unkn,RD_19,39.4567310504345,0.0789553297705845
,K22,HEX,,Std,,30.9391278261147,37
,K23,HEX,,Std,,31.1329475828001,37
,K24,HEX,,Std,,30.2394961129127,37
,M22,HEX,,Std,,34.0447031881636,3.7
,M23,HEX,,Std,,35.4879741957596,3.7
,M24,HEX,,Std,,32.9869274573749,3.7
,P22,HEX,,NTC,,NaN,NaN
,P23,HEX,,NTC,,NaN,NaN
,P24,HEX,,NTC,,NaN,NaN
