Well,Fluor,Target,Content,Sample,Cq,SQ
G01,Cy5,,Unkn,BO_11,23.47470573,90976.54454
G02,Cy5,,Unkn,BO_11,23.94255025,5.16E+11
G03,Cy5,,Unkn,BO_11,23.19788409,9.176177649
G01,HEX,,Unkn,BO_11,NaN,NaN
G02,HEX,,Unkn,BO_11,NaN,NaN
G03,HEX,,Unkn,BO_11,NaN,NaN
I01,Cy5,,Unkn,BO_12,20.5520528,5.84E-38
I02,Cy5,,Unkn,BO_12,23.30888764,367.3984247
I03,Cy5,,Unkn,BO_12,22.39075694,2.05E-11
I01,HEX,,Unkn,BO_12,37.1086548,0.203463107
I02,HEX,,Unkn,BO_12,37.20958855,0.188966968
I03,HEX,,Unkn,BO_12,37.6205115,0.139862349
K01,Cy5,,Unkn,BO_13,26.13162327,2.06E+43
K02,Cy5,,Unkn,BO_13,25.95323087,5.49E+40
K03,Cy5,,Unkn,BO_13,22.93279528,0.001367012
K01,HEX,,Unkn,BO_13,NaN,NaN
K02,HEX,,Unkn,BO_13,NaN,NaN
K03,HEX,,Unkn,BO_13,37.12231064,0.201438617
A04,Cy5,,Unkn,BO_14,22.05388871,2.80E-16
A05,Cy5,,Unkn,BO_14,23.20193438,10.49863495
A06,Cy5,,Unkn,BO_14,23.14280584,1.470747818
A04,HEX,,Unkn,BO_14,36.13637497,0.414665643
A05,HEX,,Unkn,BO_14,NaN,NaN
A06,HEX,,Unkn,BO_14,NaN,NaN
C04,Cy5,,Unkn,BO_15,23.94763995,6.11E+11
C05,Cy5,,Unkn,BO_15,23.2598981,72.09611892
C06,Cy5,,Unkn,BO_15,23.22201616,20.46626408
C04,HEX,,Unkn,BO_15,37.06184523,0.210558334
C05,HEX,,Unkn,BO_15,NaN,NaN
C06,HEX,,Unkn,BO_15,NaN,NaN
E04,Cy5,,Unkn,BO_16,22.51869564,1.44E-09
E05,Cy5,,Unkn,BO_16,23.09132587,0.265680827
E06,Cy5,,Unkn,BO_16,23.52047222,416510.6702
E04,HEX,,Unkn,BO_16,37.13930527,0.198947258
E05,HEX,,Unkn,BO_16,NaN,NaN
E06,HEX,,Unkn,BO_16,36.18397391,0.40046102
G04,Cy5,,Unkn,BO_17,23.4338689,23409.84732
G05,Cy5,,Unkn,BO_17,26.13471189,2.29E+43
G06,Cy5,,Unkn,BO_17,24.0868746,6.26E+13
G04,HEX,,Unkn,BO_17,36.10175958,0.425311105
G05,HEX,,Unkn,BO_17,NaN,NaN
G06,HEX,,Unkn,BO_17,37.34696994,0.170881379
I04,Cy5,,Unkn,BO_18,23.04154013,0.05077392
I05,Cy5,,Unkn,BO_18,25.08754965,1.75E+28
I06,Cy5,,Unkn,BO_18,30.60623018,8.16E+107
I04,HEX,,Unkn,BO_18,NaN,NaN
I05,HEX,,Unkn,BO_18,NaN,NaN
I06,HEX,,Unkn,BO_18,39.63680899,0.031949304
K04,Cy5,,Unkn,BO_19,26.26466265,1.72E+45
K05,Cy5,,Unkn,BO_19,23.13942022,1.314203117
K06,Cy5,,Unkn,BO_19,36.01623675,1.03E+186
K04,HEX,,Unkn,BO_19,36.71391616,0.27165874
K05,HEX,,Unkn,BO_19,36.55558418,0.305054694
K06,HEX,,Unkn,BO_19,NaN,NaN
A01,Cy5,,Unkn,BO_7,26.67866833,1.63E+51
A02,Cy5,,Unkn,BO_7,23.36585643,2440.918105
A03,Cy5,,Unkn,BO_7,23.10987576,0.492210893
