,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,,Unkn,BO_7,26.1888416297847,NaN
,A02,Cy5,,Unkn,BO_7,26.0269812318688,NaN
,A03,Cy5,,Unkn,BO_7,25.9609839333043,NaN
,A04,Cy5,,Unkn,BO_14,26.0886041251186,NaN
,A05,Cy5,,Unkn,BO_14,25.916273688036,NaN
,A06,Cy5,,Unkn,BO_14,26.0685415629047,NaN
,A08,Cy5,,Unkn,C2_7,26.1452077168466,NaN
,A09,Cy5,,Unkn,C2_7,26.1952499941222,NaN
,A10,Cy5,,Unkn,C2_7,26.1285675978685,NaN
,A11,Cy5,,Unkn,C2_14,26.4755362991204,NaN
,A12,Cy5,,Unkn,C2_14,26.200425503717,NaN
,A13,Cy5,,Unkn,C2_14,26.114450627099,NaN
,A15,Cy5,,Unkn,RD_7,26.5052697040017,NaN
,A16,Cy5,,Unkn,RD_7,26.2645726640153,NaN
,A17,Cy5,,Unkn,RD_7,26.2177587866726,NaN
,A18,Cy5,,Unkn,RD_14,25.9920060410914,NaN
,A19,Cy5,,Unkn,RD_14,26.3124973461616,NaN
,A20,Cy5,,Unkn,RD_14,26.3869982086937,NaN
,A22,Cy5,,Pos Ctrl,,26.1611887969633,NaN
,A23,Cy5,,Pos Ctrl,,26.1297239331495,NaN
,A24,Cy5,,Pos Ctrl,,26.1071568865782,NaN
,C01,Cy5,,Unkn,BO_8,26.2463314918444,NaN
,C02,Cy5,,Unkn,BO_8,25.8922186765144,NaN
,C03,Cy5,,Unkn,BO_8,25.8737331318159,NaN
,C04,Cy5,,Unkn,BO_15,25.4645419555505,NaN
,C05,Cy5,,Unkn,BO_15,25.9716268481309,NaN
,C06,Cy5,,Unkn,BO_15,25.9371981378653,NaN
,C08,Cy5,,Unkn,C2_8,26.1728480507771,NaN
,C09,Cy5,,Unkn,C2_8,26.0277862974599,NaN
,C10,Cy5,,Unkn,C2_8,26.1309201188039,NaN
,C11,Cy5,,Unkn,C2_15,26.163581645751,NaN
,C12,Cy5,,Unkn,C2_15,25.9985727038999,NaN
,C13,Cy5,,Unkn,C2_15,25.8899631035379,NaN
,C15,Cy5,,Unkn,RD_8,26.2625338003553,NaN
,C16,Cy5,,Unkn,RD_8,25.9585371703226,NaN
,C17,Cy5,,Unkn,RD_8,25.8898971260039,NaN
,C18,Cy5,,Unkn,RD_15,26.2315534637265,NaN
,C19,Cy5,,Unkn,RD_15,25.1836259735421,NaN
,C20,Cy5,,Unkn,RD_15,26.0335914831395,NaN
,C22,Cy5,,NTC,,26.0411298246953,NaN
,C23,Cy5,,NTC,,26.1251476616736,NaN
,C24,Cy5,,NTC,,26.7996158179429,NaN
,E01,Cy5,,Unkn,BO_9,26.060694817795,NaN
,E02,Cy5,,Unkn,BO_9,26.0536980667886,NaN
,E03,Cy5,,Unkn,BO_9,26.1572377460015,NaN
,E04,Cy5,,Unkn,BO_16,25.1993928807644,NaN
,E05,Cy5,,Unkn,BO_16,25.8177437526404,NaN
,E06,Cy5,,Unkn,BO_16,26.0773254266545,NaN
,E08,Cy5,,Unkn,C2_9,24.4585456130924,NaN
,E09,Cy5,,Unkn,C2_9,25.4235609598688,NaN
,E10,Cy5,,Unkn,C2_9,25.981212952621,NaN
,E11,Cy5,,Unkn,C2_16,25.2384171373249,NaN
,E12,Cy5,,Unkn,C2_16,25.9045277829751,NaN
,E13,Cy5,,Unkn,C2_16,25.2208977686053,NaN
,E15,Cy5,,Unkn,RD_9,26.0532680824056,NaN
,E16,Cy5,,Unkn,RD_9,26.1552333844642,NaN
,E17,Cy5,,Unkn,RD_9,26.0828549873229,NaN
,E18,Cy5,,Unkn,RD_16,25.8920552851144,NaN
,E19,Cy5,,Unkn,RD_16,26.1356636183598,NaN
,E20,Cy5,,Unkn,RD_16,26.0584579962337,NaN
,G01,Cy5,,Unkn,BO_11,26.3645646179623,NaN
,G02,Cy5,,Unkn,BO_11,26.0097595444391,NaN
,G03,Cy5,,Unkn,BO_11,26.0557698667996,NaN
,G04,Cy5,,Unkn,BO_17,25.4533245816007,NaN
,G05,Cy5,,Unkn,BO_17,25.2946677378573,NaN
,G06,Cy5,,Unkn,BO_17,26.010858204073,NaN
,G08,Cy5,,Unkn,C2_11,25.8140864206341,NaN
,G09,Cy5,,Unkn,C2_11,25.6394427545257,NaN
,G10,Cy5,,Unkn,C2_11,26.0196050109668,NaN
,G11,Cy5,,Unkn,C2_17,25.8369570776573,NaN
,G12,Cy5,,Unkn,C2_17,25.7935887031749,NaN
,G13,Cy5,,Unkn,C2_17,25.1380104125197,NaN
,G15,Cy5,,Unkn,RD_11,26.1887515892636,NaN
,G16,Cy5,,Unkn,RD_11,26.0966800421952,NaN
,G17,Cy5,,Unkn,RD_11,26.0557424565809,NaN
,G18,Cy5,,Unkn,RD_17,25.4940376198882,NaN
,G19,Cy5,,Unkn,RD_17,26.8583996771056,NaN
,G20,Cy5,,Unkn,RD_17,26.4007036934804,NaN
,I01,Cy5,,Unkn,BO_12,26.0192892259496,NaN
,I02,Cy5,,Unkn,BO_12,26.050276168288,NaN
