site,date,salinity,temp,,,,,type
BO,2/16/22,23.88,19.9,,,,,Monthly
BO,3/9/22,29.06,12.7,,,,,Monthly
BO,4/20/22,31.58,24.1,,,,,Monthly
BO,5/11/22,32.18,28.3,,,,,Monthly
BO,6/14/22,30.41,27.8,,,,,Monthly
BO,7/7/22,29.86,28.9,,,,,Daily
BO,7/8/22,31.8,28.9,,,,,Daily
BO,7/9/22,32.16,28.8,,,,,Daily
BO,7/11/22,41.11,29.6,,,,,Daily
BO,7/12/22,36.01,29.5,,,,,Daily
BO,7/12/22,36.01,29.5,,,,,Monthly
BO,7/13/22,34.62,30,,,,,Daily
BO,7/14/22,30.65,29.2,,,,,Daily
BO,7/15/22,24.9,28.1,,,,,Daily
BO,7/16/22,23.95,27.9,,,,,Daily
BO,7/17/22,21.9,28.1,,,,,Daily
BO,7/18/22,23.87,29,,,,,Daily
BO,7/19/22,20.06,28.1,,,,,Daily
BO,8/9/22,37.06,29.6,,,,,Monthly
BO,9/13/22,28.73,30.8,,,,,Monthly
BO,10/18/22,32.65,18.8,,,,,Monthly
BO,11/15/22,31.16,15.7,,,,,Monthly
BO,12/14/22,31.99,20.5,,,,,Monthly
C2,2/16/22,29.12,16.3,,,,,Monthly
C2,3/9/22,29.4,16,,,,,Monthly
C2,4/20/22,32.46,25.1,,,,,Monthly
C2,5/11/22,35.46,29.1,,,,,Monthly
C2,6/14/22,37.7,30.3,,,,,Monthly
C2,7/7/22,39.54,30.6,,,,,Daily
C2,7/8/22,41.13,30.7,,,,,Daily
C2,7/9/22,39.99,30.8,,,,,Daily
C2,7/11/22,41.87,31.3,,,,,Daily
C2,7/12/22,40.64,31,,,,,Daily
C2,7/12/22,40.64,31,,,,,Monthly
C2,7/13/22,42.2,31.1,,,,,Daily
C2,7/14/22,42.31,31.5,,,,,Daily
C2,7/15/22,41.06,31.3,,,,,Daily
C2,7/16/22,42.57,30.8,,,,,Daily
C2,7/17/22,43.14,31.1,,,,,Daily
C2,7/18/22,43.2,31.3,,,,,Daily
C2,7/19/22,43.28,31.3,,,,,Daily
C2,8/9/22,45.55,31,,,,,Monthly
C2,9/13/22,37.29,30.6,,,,,Monthly
C2,10/18/22,36.9,25.7,,,,,Monthly
C2,11/15/22,34.3,19.3,,,,,Monthly
C2,12/14/22,32.8,22.4,,,,,Monthly
RD,2/16/22,NA,NA,,,,,Monthly
RD,3/9/22,28.66,13.5,,,,,Monthly
RD,4/20/22,30.94,23.5,,,,,Monthly
RD,5/11/22,30.88,27,,,,,Monthly
RD,6/14/22,34.65,27.5,,,,,Monthly
RD,7/7/22,35.51,29.3,,,,,Daily
RD,7/8/22,36.74,29.5,,,,,Daily
RD,7/9/22,35.48,29.3,,,,,Daily
RD,7/11/22,36.7,29.6,,,,,Daily
RD,7/12/22,35.35,29.6,,,,,Daily
RD,7/12/22,35.35,29.6,,,,,Monthly
RD,7/13/22,36.44,28.5,,,,,Daily
RD,7/14/22,36.42,27.8,,,,,Daily
RD,7/15/22,35.25,27.3,,,,,Daily
RD,7/16/22,36.29,26.7,,,,,Daily
RD,7/17/22,36.73,27.3,,,,,Daily
RD,7/18/22,36.79,28.1,,,,,Daily
RD,7/19/22,36.85,28.3,,,,,Daily
RD,8/9/22,37.25,29.9,,,,,Monthly
RD,9/13/22,36.67,29.6,,,,,Monthly
RD,10/18/22,30.02,23.3,,,,,Monthly
RD,11/15/22,31.31,18.7,,,,,Monthly
RD,12/14/22,31.91,19.4,,,,,Monthly
